,i68,i95,i99,sigma2,sigma3,peak_factor,si68,si95,start_time,noise_class,classification_reason
2024-03-19 00:10:00,6.044281867027293,14.426675195976323,72.87267835316332,2.3868303155543718,12.0564659220639,5.051245513137213,1.0179587644405952,0.957102053623071,2024-03-19T00:10:00.000000Z,NC4,Strong Kurtosis
2024-03-19 00:11:00,6.054081705794299,13.74706641866173,66.72777221912136,2.2707104209552633,11.021947747295334,4.853964488637226,1.0063644202188091,1.0374941476044997,2024-03-19T00:11:00.000000Z,NC4,Strong Kurtosis
2024-03-19 00:12:00,6.82929718006363,35.71220902858593,164.702865234192,5.229265631145545,24.117103252586443,4.611948398441417,1.0161627498702914,0.950276224438485,2024-03-19T00:12:00.000000Z,NC4,Strong Kurtosis
2024-03-19 00:13:00,8.845154879888637,163.9847947312256,5032.810898652648,18.539505181992947,568.990703610609,30.69071682470028,0.9946055591665915,0.9769166991621664,2024-03-19T00:13:00.000000Z,NC4,Strong Kurtosis
2024-03-19 00:14:00,7.939214748646744,72.97415348487735,2769.6942503982964,9.19160846446633,348.86249309107006,37.95445535345975,0.9773271627957184,0.9422751617418831,2024-03-19T00:14:00.000000Z,NC4,Strong Kurtosis
2024-03-19 00:15:00,5.713972207638539,12.398995046778822,30.80974640033806,2.1699431842184365,5.392001445010713,2.4848583521567122,0.990714330526233,1.027204195229447,2024-03-19T00:15:00.000000Z,NC4,Strong Kurtosis
2024-03-19 00:16:00,5.988461673389465,13.959647237167902,61.884870567272294,2.331090687145828,10.334017973641885,4.4331256740143345,1.0233119015899845,0.9791565715960737,2024-03-19T00:16:00.000000Z,NC4,Strong Kurtosis
2024-03-19 00:17:00,5.889783066629899,12.775381174213543,25.868915414745494,2.169074994730416,4.392167779712054,2.0249036065523107,1.0136852488291312,0.9982422296625111,2024-03-19T00:17:00.000000Z,NC4,Strong Kurtosis
2024-03-19 00:18:00,5.796412622670348,12.38331324994525,31.311271322970406,2.136375385270689,5.401836163372652,2.5285051497109503,1.0065342874531031,0.9697380275105465,2024-03-19T00:18:00.000000Z,NC4,Strong Kurtosis
2024-03-19 00:19:00,6.655879898043137,18.29853630698195,137.63369829489272,2.749228740194338,20.678512894344404,7.521568719262945,0.9984263460370788,0.9939421291289057,2024-03-19T00:19:00.000000Z,NC4,Strong Kurtosis
2024-03-19 00:20:00,5.651453325721996,12.002117955665396,40.88896197174544,2.1237223885472107,7.235123359445193,3.406812207877402,0.9671987745938073,0.983824230641613,2024-03-19T00:20:00.000000Z,NC4,Strong Kurtosis
2024-03-19 00:21:00,5.8646924057575305,12.221403235910806,27.33669711279793,2.083895009380665,4.661232886819561,2.2367887373581654,0.9775044779201677,0.9764977041171204,2024-03-19T00:21:00.000000Z,NC4,Strong Kurtosis
2024-03-19 00:22:00,5.9532655581531975,13.059829987615526,91.51204244825256,2.1937254201149567,15.371738679273887,7.007138878150197,1.031169026848893,1.0326843675229127,2024-03-19T00:22:00.000000Z,NC4,Strong Kurtosis
2024-03-19 00:23:00,6.108648725013888,14.790233692304913,45.44892860574297,2.4211956454037695,7.440095289754879,3.0729013179412585,0.994603293598948,1.0223139754410182,2024-03-19T00:23:00.000000Z,NC4,Strong Kurtosis
2024-03-19 00:24:00,5.594533289252025,11.883792461237043,35.63072093209192,2.124179417086975,6.368845994811419,2.9982617963342437,1.0050585861873937,0.9788597462293998,2024-03-19T00:24:00.000000Z,NC4,Strong Kurtosis
2024-03-19 00:25:00,5.666422000837487,11.893426276845927,53.03009702116796,2.0989305553112882,9.35865648787369,4.458773761805438,0.9926633218583972,0.9802827276961161,2024-03-19T00:25:00.000000Z,NC4,Strong Kurtosis
2024-03-19 00:26:00,5.735657528248802,11.931660214197596,20.487759047546778,2.0802602239469037,3.5719983187005333,1.7170920626090407,0.9815235217132525,1.0029171380511714,2024-03-19T00:26:00.000000Z,NC3,Moderate Kurtosis
2024-03-19 00:27:00,6.258990725644457,13.222279645445882,22.82452514986725,2.1125258408310628,3.6466782186383764,1.7262170943214505,0.999994481524828,0.9642846737342533,2024-03-19T00:27:00.000000Z,NC3,Moderate Kurtosis
