Datum,1m
2020-11-06,-1.02697245833333
2020-11-07,-1.76735316666667
2020-11-08,-2.11445870833333
2020-11-09,-2.28088679166667
2020-11-10,-2.55928370833333
2020-11-11,-2.82537095833333
2020-11-12,-3.07059533333333
2020-11-13,-3.24790345833333
2020-11-14,-3.310448625
2020-11-15,-3.34361933333333
2020-11-16,-3.306708
2020-11-17,-3.49656191666667
2020-11-18,-3.52784475
2020-11-19,-3.33456458333333
2020-11-20,-3.47092545833333
2020-11-21,-4.38255033333333
2020-11-22,-4.75567091666667
2020-11-23,-4.342701125
2020-11-24,-4.45371695833333
2020-11-25,-4.80644925
2020-11-26,-4.87401420833333
2020-11-27,-5.00994758333333
2020-11-28,-5.18117920833333
2020-11-29,-5.34424695833333
2020-11-30,-5.80917366666667
2020-12-01,-6.18041283333334
2020-12-02,-6.14611808333333
2020-12-03,-6.24438845833333
2020-12-04,-6.558328125
2020-12-05,-6.48910220833333
2020-12-06,-6.08844908333333
2020-12-07,-5.74478254166667
2020-12-08,-5.7110665
2020-12-09,-5.78562004166667
2020-12-10,-5.826948625
2020-12-11,-6.03640783333333
2020-12-12,-6.148915125
2020-12-13,-6.12502395833333
2020-12-14,-6.231685125
2020-12-15,-5.85424641666667
2020-12-16,-5.42816045833333
2020-12-17,-5.45416554166667
2020-12-18,-5.634512875
2020-12-19,-5.89456129166667
2020-12-20,-6.10009795833333
2020-12-21,-5.92383041666667
2020-12-22,-5.43408295833333
2020-12-23,-4.89970466666667
2020-12-24,-4.711346875
2020-12-25,-5.16089833333333
2020-12-26,-5.59308216666667
2020-12-27,-5.78779916666667
2020-12-28,-6.00418041666667
2020-12-29,-6.19453829166667
2020-12-30,-6.543154625
2020-12-31,-6.850123375
2021-01-01,-7.068669625
2021-01-02,-7.22520804166667
2021-01-03,-7.28460325
2021-01-04,-7.4130485
2021-01-05,-7.874927
2021-01-06,-8.26924420833334
2021-01-07,-8.30052091666667
2021-01-08,-8.55325570833333
2021-01-09,-8.871750625
2021-01-10,-9.2588755
2021-01-11,-9.70303654166667
2021-01-12,-9.859874
2021-01-13,-9.75266620833333
2021-01-14,-9.889598
2021-01-15,-9.87626858333333
2021-01-16,-10.29012475
2021-01-17,-10.7201464583333
2021-01-18,-10.6654067916667
2021-01-19,-10.6463778333333
2021-01-20,-10.138119
2021-01-21,-9.74170233333333
2021-01-22,-9.32808575
2021-01-23,-9.05946491666667
2021-01-24,-9.46021366666667
2021-01-25,-10.335271625
2021-01-26,-10.846011875
2021-01-27,-11.3372212916667
2021-01-28,-10.79429925
2021-01-29,-9.47754466666667
2021-01-30,-9.09211904166667
2021-01-31,-8.77466079166667
2021-02-01,-8.6119115
2021-02-02,-8.28882054166667
2021-02-03,-7.73867483333333
2021-02-04,-7.482509
2021-02-05,-7.46103333333333
2021-02-06,-7.22217116666667
2021-02-07,-6.96533675
2021-02-08,-7.009943
2021-02-09,-7.6436285
2021-02-10,-7.85077008333334
2021-02-11,-8.22731058333333
2021-02-12,-9.48710125
2021-02-13,-10.5019500833333
2021-02-14,-11.6605682916667
2021-02-15,-12.0691631666667
2021-02-16,-10.6335805833333
2021-02-17,-9.33050508333333
2021-02-18,-9.37952816666667
2021-02-19,-9.01221429166667
2021-02-20,-8.55767866666667
2021-02-21,-8.33614095833333
2021-02-22,-8.20306291666667
2021-02-23,-7.95867720833333
2021-02-24,-7.42088708333333
2021-02-25,-7.23631529166666
2021-02-26,-7.26770829166667
2021-02-27,-7.09820241666667
2021-02-28,-7.56111475
2021-03-01,-7.82443441666667
2021-03-02,-7.860808375
2021-03-03,-7.78920620833333
2021-03-04,-7.33602841666667
2021-03-05,-7.07887883333333
2021-03-06,-7.51163466666667
2021-03-07,-8.17864883333333
2021-03-08,-8.18984254166667
2021-03-09,-8.709528375
2021-03-10,-8.99145920833334
2021-03-11,-8.73998325
2021-03-12,-7.877315875
2021-03-13,-8.06613479166666
2021-03-14,-8.29944370833333
2021-03-15,-8.8815275
2021-03-16,-9.28372875
2021-03-17,-9.66932954166667
2021-03-18,-9.56227275
2021-03-19,-9.46732816666667
2021-03-20,-9.48377291666667
2021-03-21,-9.460779
2021-03-22,-9.395743875
2021-03-23,-9.35981058333334
2021-03-24,-9.32738816666667
2021-03-25,-9.24743016666667
